color,name
#ff0000,Jefatura de Gabinete
#e6acac,AFIP
#d97400,Ministerio de Agroindustria
#4c4700,INDEC
#20f200,Ministerio de Hacienda
#8fbfaf,Ministerio de Modernización
#002233,Otros descentralizados
#7989f2,RENAPER
#281d73,Ministerio de Cultura
#e200f2,ARSAT
#d90057,Ministerio del Interior
#f20000,Ministerio de Seguridad
#806460,Ministerio de Justicia
#8c5e00,Ministerio de Salud
#e6f23d,Ministerio de Desarrollo Social
#283326,Poder Judicial
#79eaf2,SINTYS
#003059,Ministerio de Turismo
#0000f2,IGN
#0e0033,ANSES
#912699,Ministerio de Producción
#bf6086,Ministerio de Transporte
#731d1d,Ministerio de Defensa
#7f4620,Ministerio de Trabajo
#ffbf40,Presidencia
#f2ffbf,Ministerio de Ciencia y Tecnología
#005924,Ministerio de Energía y Minería
#396773,Ministerio de Educación
